Date,Team,Sport,Line,Edge,Vibe,Units,Result
04/03/2026,San Antonio Spurs,NBA,2.5,0.5,🚀,1.0,Win
04/03/2026,Auburn Tigers,NCAA B,-7.5,0.5,🚀,1.0,Win
04/03/2026,Brooklyn Nets,NBA,17.5,1.0,🚀,1.0,Loss
04/04/2026,Arizona Wildcats,NCAA B,1.5,2.5,🚀,1.0,Loss
04/05/2026,Toronto Raptors,NBA,10.5,1.0,🚀,1.0,Loss
04/05/2026,Oklahoma City Thunder,NBA,-21.5,1.0,🚀,1.0,Win
04/06/2026,Detroit Pistons,NBA,-1.0,1.0,,1.0,Loss
04/06/2026,Memphis Grizzlies,NBA,13.5,0.5,,1.0,Loss
04/07/2026,Toronto Raptors,NBA,1.0,2.5,,1.0,Win
04/07/2026,New Orleans Pelicans,NBA,-10.5,0.5,,1.0,Loss
